name,vCPU,ramgb,storagegb,io,hourlycost
c3.4xlarge,16,30,2 x 160 SSD,High,0.8400
c3.8xlarge,32,60,2 x 320 SSD,10 Gigabit,1.6800
cc2.8xlarge,32,60.5,4 x 840 SSD,10 Gigabit,2.0000
cr1.8xlarge,32,244,2 x 120 SSD,10 Gigabit,3.5000
g2.2xlarge,8,15,1 x 60 SSD,Moderate,0.6500
g2.8xlarge,32,60,2 x 120 SSD,High,2.6000
hs1.8xlarge,16,117,24 x 2000 HDD,10 Gigabit,4.6000
i2.xlarge,4,30.5,1 x 800 SSD,Moderate,0.8530
i2.2xlarge,8,61,2 x 800 SSD,High,1.7050
i2.4xlarge,16,122,4 x 800 SSD,High,3.4100
i2.8xlarge,32,244,8 x 800 SSD,10 Gigabit,6.8200
m1.small,1,1.7,1 x 160 SSD,Low,0.0440
m1.medium,1,3.75,1 x 410 SSD,Moderate,0.0870
m1.large,2,7.5,2 x 420 SSD,Moderate,0.1750
m1.xlarge,4,15,4 x 420 SSD,High,0.3500
m2.xlarge,2,17.1,1 x 420 SSD,Moderate,0.2450
m2.2xlarge,4,34.2,1 x 850 SSD,Moderate,0.4900
m2.4xlarge,8,68.4,2 x 840 SSD,High,0.9800
m3.medium,1,3.75,1 x 4 SSD,Moderate,0.0670
m3.large,2,7.5,1 x 32 SSD,Moderate,0.1330
m3.xlarge,4,15,2 x 40 SSD,High,0.2660
m3.2xlarge,8,30,2 x 80 SSD,High,0.5320
r3.large,2,15.25,1 x 32 SSD,Moderate,0.1660
r3.xlarge,4,30.5,1 x 80 SSD,Moderate,0.3330
r3.2xlarge,8,61,1 x 160 SSD,High,0.6650
r3.4xlarge,16,122,1 x 320 SSD,High,1.3300
r3.8xlarge,32,244,2 x 320 SSD,10 Gigabit,2.6600
t1.micro,1,0.613,--,Very Low,0.0200
